snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0,0.134802999614198,0.168212528935185,0.207199315200618
0.5,0.105774016203704,0.149976369598766,0.20103515625
1,0.056608796296296,0.132284673996914,0.199501591435186
1.5,0.004625771604938,0.10813850308642,0.195472849151234
2,0.000660204475309,0.056560329861111,0.190460551697531
2.5,0.000291280864198,0.013051697530864,0.189204764660494
3,0.000127555941358,0.004997588734568,0.186213589891976
3.5,8.34297839505981E-05,0.00244212962963,0.180038097993827
4,4.46084104938272E-05,0.001259645061728,0.176807725694445
4.5,3.59278549382716E-05,0.000675636574074,0.170553867669753
5,2.4675925925926E-05,0.000425588348765,0.166347897376543
5.5,1.39853395061729E-05,0.000252941743827,0.161176215277777
6,1.06095679012346E-05,0.000190972222222,0.153440152391976
6.5,4.82253086419753E-06,0.00013744212963,0.146281105324074
7,3.37577160493827E-06,0.000120804398148,0.142235484182099
7.5,2.65239197530865E-06,9.45216049382413E-05,0.136046248070987
8,1.44675925925926E-06,5.25655864197531E-05,0.122990210262346
