snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0.25,0.1189171006944445,0.1559437692901235,0.1896985918209875
0.75,0.079066840277778,0.13672092013888898,0.184789737654321
1.25,0.0282431520061726,0.1112328800154325,0.1795867091049385
1.75,0.0011759741512347,0.062437789351851805,0.174559461805556
2.25,0.00027126736111110993,0.020054735725308546,0.16901620370370352
2.75,6.317515432098765e-05,0.0050040991512347,0.163987991898148
3.25,2.314814814814815e-05,0.0022395833333332,0.156918402777778
3.75,2.74884259259259e-06,0.0010339506172839,0.15110026041666652
4.25,2.1701388888888863e-06,0.00040364583333320003,0.142366657021605
4.75,2.17013888888889e-06,0.0001374421296296148,0.133615451388889
5.25,7.233796296296295e-07,6.87210648147926e-05,0.12364125192901249
5.75,2.411265432098765e-07,2.146026234567903e-05,0.112593074845679
6.25,0.0,8.921682098765435e-06,0.10319058641975301
6.75,2.411265432098765e-07,3.858024691358023e-06,0.08772810570987645
7.25,0.0,1.2056327160493814e-06,0.07527994791666665
7.75,0.0,0.0,0.0596993152006175
,,,
