snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0.0,0.1348029996141975,0.1474361014660495,0.20719931520061752
0.5,0.105774016203704,0.1243294270833335,0.20103515625
1.0,0.056608796296296296,0.09770109953703705,0.19950159143518548
1.5,0.0046257716049382,0.034009693287037054,0.1954728491512345
2.0,0.0006602044753085501,0.0046761670524691,0.190460551697531
2.5,0.0002912808641975,0.00143277391975305,0.189204764660494
3.0,0.00012755594135800002,0.0007262731481481001,0.1862135898919755
3.5,8.342978395059815e-05,0.00034119405864195,0.180038097993827
4.0,4.460841049382715e-05,0.00018735532407405,0.1768077256944445
4.5,3.59278549382716e-05,0.00012659143518515,0.170553867669753
5.0,1.44675925925926e-05,7.619598765432094e-05,0.1663478973765435
5.5,1.398533950617285e-05,4.5814043209876546e-05,0.16117621527777748
6.0,1.0609567901234556e-05,3.3998842592592604e-05,0.1534401523919755
6.5,4.82253086419753e-06,2.073688271604935e-05,0.1462811053240745
7.0,3.375771604938275e-06,2.17013888888889e-05,0.142235484182099
7.5,2.652391975308645e-06,1.54320987654321e-05,0.1360462480709875
8.0,1.4467592592592615e-06,1.0609567901234591e-05,0.122990210262346
,,,
,,,
,,,
,,,
